procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 17      0 396980512 352244 60063804    0    0 640108     8 19526 14773  5  7 63 26  0
 2 16      0 394479936 352244 61609000    0    0 638312     0 16417 14441  3  5 63 30  0
 5 11      0 404631776 352244 62121276    0    0 625776     0 18218 14219  5  5 64 26  0
 2 11      0 409725568 352244 56404564    0    0 581204     0 15025 13132  3  4 70 22  0
 2 11      0 417154144 352244 49005152    0    0 566620     0 13821 12896  2  4 73 21  0
 4  8      0 416989056 352244 48973036    0    0 547796    44 14942 12186  5  3 74 18  0
 3  9      0 416947904 352248 48982128    0    0 535640     0 15171 12799  7  2 76 15  0
 4  5      0 422531200 352240 44046900    0    0 531232     0 13367 11086  4  5 78 14  0
 4  6      0 431473920 352240 36304628    0    0 493456     0 14274 11858  5  5 80 11  0
181 10      0 437588864 352240 34486768    0    0 559256     0 19800 15332  8  5 70 17  0
 8 13      0 432498368 352244 34733104    0    0 596320     0 34268 23709 17 10 51 22  0
 9 13      0 428811488 352252 35157132    0    0 621684    72 30012 22435 15 10 51 24  0
 9 14      0 426877728 352252 35488580    0    0 619508    28 30117 22555 15  9 50 25  0
 8 16      0 425035200 352252 35917320    0    0 633008     0 30723 23454 15  9 50 26  0
19 10      0 422430528 352248 36261240    0    0 642652     0 32311 22880 17  9 49 25  0
11 16      0 419949824 352248 36605096    0    0 633696     0 32056 22124 16 10 49 25  0
12 11      0 417414880 352248 37056468    0    0 619336     0 29472 22686 13  8 51 27  0
11  9      0 417365952 352244 37526464    0    0 598748    44 27836 21798 13  8 57 22  0
 7 11      0 415100352 352244 37907464    0    0 571188     0 26476 21131 13  8 61 19  0
 9  9      0 411010048 352244 38371832    0    0 545120     0 26699 20784 13  8 63 16  0
 7  9      0 407691328 352244 38776968    0    0 513748     0 25104 18971 12  7 67 14  0
 9  5      0 405497920 352244 39083200    0    0 482704     0 24226 17118 13  7 69 11  0
 8  6      0 402325504 352244 40427496    0    0 459956     0 23691 17434 11  8 71 10  0
12  2      0 393794880 352248 49050496    0    0 378564     0 20677 9229  8 14 71  6  0
12  4      0 384768512 352252 60339344    0    0 332336    48 20710 8650  6 17 73  4  0
 7  7      0 393453632 352252 66001252    0    0 444020     0 22760 12951  8 14 70  9  0
 7  8      0 399613696 352252 62994240    0    0 527352     0 19326 14050  8  7 71 14  0
 6 10      0 402008032 352252 59743960    0    0 544672     0 20485 14583  7  6 69 18  0
 8 10      0 404174304 352252 56026900    0    0 533912     0 21383 16153  7  6 67 21  0
 5 16      0 407987040 352256 51972640    0    0 555860   100 24462 17583  8  6 63 24  0
 5 16      0 411788800 352256 48003476    0    0 575740     0 25246 19730  8  6 61 25  0
 6 17      0 415361472 352252 44206688    0    0 599020     0 25905 19476  8  6 61 25  0
 4 12      0 415678688 352248 43758048    0    0 590816     0 22689 18571  7  4 63 26  0
 4 10      0 415322656 352244 43842100    0    0 554248     0 20070 17908  4  3 67 25  0
 4  7      0 417371776 352244 43933812    0    0 527848     0 17595 14604  5  3 73 19  0
 4  7      0 416479328 352252 44878060    0    0 493116    44 15796 13235  3  4 78 16  0
 3  7      0 413373056 352252 46437428    0    0 467876     0 15288 12364  3  4 80 13  0
 4  7      0 415705440 352256 45556760    0    0 476308     0 17108 12816  6  5 77 12  0
 5  9      0 420080096 352252 41340304    0    0 508084     0 17365 12482  6  5 74 15  0
14  7      0 421889920 352252 40520480    0    0 521188    60 33638 19111 18  8 59 16  0
 8 11      0 419277440 352252 40848096    0    0 487548     0 28474 19447 15  9 61 15  0
 9 11      0 418607776 352252 41189116    0    0 517712    72 29740 20695 14  9 60 18  0
11 10      0 419387552 352252 41451744    0    0 520004     0 28662 19892 14  8 56 22  0
 8 15      0 419790048 352252 41768032    0    0 549044     0 29202 20952 13  7 54 26  0
 8 17      0 417604800 352252 41989032    0    0 585372    28 26927 20018 11  7 54 28  0
 7 21      0 415452128 352256 42218780    0    0 614064     0 25745 19715 10  6 53 31  0
11 18      0 414528480 352256 42382580    0    0 652752    44 26664 20345 11  6 52 31  0
