filename,num_atoms,elements
8061_0.npz,15,"['N', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
46399_0.npz,18,"['O', 'N', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
179897_0.npz,16,"['N', 'N', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
241967_0.npz,14,"['O', 'N', 'N', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H']"
141493_0.npz,17,"['O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
75408_0.npz,9,"['N', 'N', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
188621_0.npz,19,"['O', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
31263_0.npz,19,"['O', 'O', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
74154_0.npz,19,"['O', 'O', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
81151_0.npz,13,"['O', 'O', 'N', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
40898_0.npz,18,"['O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
8299_0.npz,11,"['O', 'O', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
143942_0.npz,11,"['O', 'O', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'H', 'H']"
19239_0.npz,17,"['O', 'N', 'N', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
219601_0.npz,19,"['O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
88610_0.npz,16,"['O', 'O', 'N', 'N', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
